name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"dclub Nipple Covers Reusable Comfortable & Natural Invisible Adhesive Silicone Pasties for Women, Round (Skin)",women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/51M087p7ktL._AC_UL320_.jpg,https://www.amazon.in/dclub-Reusable-Comfortable-Invisible-Adhesive/dp/B09TFP288T/ref=sr_1_5_mod_primary_new?qid=1679154840&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5,4.3,"2,880",₹191,"₹1,200"
"YIFELY double sided tape for clothes tape for clothes Double Sided Tape for Fashion, Clothing and Body (36 Strip Pack) | A...",women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/51J8Ph-rUVL._AC_UL320_.jpg,https://www.amazon.in/YIFELY-Clothing-Strength-Adhesive-Transparent/dp/B0BHDSV9M5/ref=sr_1_6?qid=1679154840&s=apparel&sr=1-6,4.3,341,₹199,₹449
Jockey Women's Bikini,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/81hWgsH56wL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Womens-Bikini-1410_Dark-Assorted_L/dp/B010FMMVYK/ref=sr_1_7?qid=1679154840&s=apparel&sr=1-7,4.2,"26,042",₹419,₹498
Jockey Women Cotton Hipster Brief(Pack of 3),women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/81Nu+DmgfpL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Womens-Hipster-1406_Dark-Assorted_L/dp/B010FMJKFS/ref=sr_1_8?qid=1679154840&s=apparel&sr=1-8,4.2,"31,957",₹425,₹498
GLAMORAS Women Camisole (Glcamisecret_Black-White-Beige_Free Size),women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/517vKSMkKvL._AC_UL320_.jpg,https://www.amazon.in/Ritu-Creation-Womens-Cotton-Camisole/dp/B07B94Z577/ref=sr_1_9?qid=1679154840&s=apparel&sr=1-9,4.1,668,₹284,₹799
Pasties for Women 4 Pairs Nipple Covers Reusable Adhesive Silicone Covers,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/713aSudWVSL._AC_UL320_.jpg,https://www.amazon.in/Pasties-Nipple-Reusable-Adhesive-Silicone/dp/B078K9P73F/ref=sr_1_10?qid=1679154840&s=apparel&sr=1-10,4.3,"3,870",₹365,"₹1,700"
"Sanfe Flix Breast Roll -Breast Shaper & Lifter, Breathable Breast Support Boobtape, 5-meter Breast Lift Tape for Backless,...",women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/71mwLH2XTFL._AC_UL320_.jpg,https://www.amazon.in/Sanfe-Breathable-Boobtape-Backless-Friendly/dp/B0B5281W68/ref=sr_1_11?qid=1679154840&s=apparel&sr=1-11,3.8,272,₹508,₹549
SHOPPY VILLA WITH SV LOGO Women Camisole (Comi-Secret_Multicolour_Free Size),women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/61+aEr8p4mL._AC_UL320_.jpg,https://www.amazon.in/SHOPPY-VILLA-Ladies-Secret-3_Black/dp/B079HR78GS/ref=sr_1_12?qid=1679154840&s=apparel&sr=1-12,4.1,"1,086",₹279,₹499
Rushwak Boob Tape with 10 Nipple Pasties & 36 Fashion Tape Multipurpose Body Tape for Women Push Up & Lifting Breast Tape ...,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/71-0VVomB-L._AC_UL320_.jpg,https://www.amazon.in/Rushwak-Pasties-Fashion-Multipurpose-Lifting/dp/B0B1F3PRRH/ref=sr_1_13?qid=1679154840&s=apparel&sr=1-13,4.0,696,₹499,₹999
"Sanfe Flix Cotton Nipple Covers, 10 Breathable Nipple Pasties, No Show Bra for Women, Skin Friendly, Disposable (Cotton Ni...",women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/71oPhfJd4sL._AC_UL320_.jpg,https://www.amazon.in/Breathable-Pasties-Friendly-Adhesive-Disposable/dp/B0B5282V88/ref=sr_1_14?qid=1679154840&s=apparel&sr=1-14,3.9,226,₹203,₹299
Gopalvilla Women's Spandex & Nylon Waist Shapwear(SFH007_FIT to : 30 to 36),women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/51JnxNVzdaL._AC_UL320_.jpg,https://www.amazon.in/Gopalvilla-Womens-Control-Blended-Shapewear/dp/B08DTD94NS/ref=sr_1_15?qid=1679154840&s=apparel&sr=1-15,3.7,"5,658",₹259,₹799
FIMS - Fashion is my style Bra Hook Extender-2 Hook - 3 Eye (with Extra Elastic) Save Your Bra Increase Band Length-Bra Ex...,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/81v-vugaIUL._AC_UL320_.jpg,https://www.amazon.in/FIMS-Fashion-Womens-Extender-Elastic/dp/B07DD7D3W8/ref=sr_1_16?qid=1679154840&s=apparel&sr=1-16,4.3,"7,870",₹124,₹700
Van Heusen Women Antibacterial Cotton Hipster Panty - Pack of 3,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/61R5WKn6lAL._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Hipster-11101_Dark-Assorted_L/dp/B07JVPXV2Q/ref=sr_1_17?qid=1679154840&s=apparel&sr=1-17,4.2,"12,109",₹419,₹519
FIMALIA Women's Cotton Clip-on Mock Lace Camisole Cami Secret (Free Size) - Set of 3,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/61Hqt5RGQ+L._AC_UL320_.jpg,https://www.amazon.in/FIMALIA-Womens-Camisole-Cami-Secret-1-F_Black-Skin_Free/dp/B0B6PX1HZP/ref=sr_1_18?qid=1679154840&s=apparel&sr=1-18,4.1,234,₹279,₹500
Glamoras Women's Cotton Spandex Multipurpose Breast Lift Booby Tape,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/41bAPrGxTCL._AC_UL320_.jpg,https://www.amazon.in/Glamoras-Womens-Multipurpose-Breast-Booby/dp/B08MWQVBGH/ref=sr_1_19?qid=1679154840&s=apparel&sr=1-19,3.6,783,₹284,₹999
XL Boob Tape Breast Lift Tape for Contour Lift & Fashion | Boobytape Athletic Tape for Breasts | Body Tape for Lift & Push...,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/71o7HeYYbML._AC_UL320_.jpg,https://www.amazon.in/Boobytape-Athletic-Waterproof-Sweatproof-Invisible/dp/B09CZ89XX5/ref=sr_1_20_mod_primary_new?qid=1679154840&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-20,3.2,518,₹263,₹499
FLYNGO 2 Pair Nipple Covers Reusable Comfortable Invisible Adhesive Silicone Pasties for Women,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/416cz5MDANL._AC_UL320_.jpg,https://www.amazon.in/FLYNGO-Reusable-Comfortable-Invisible-Adhesive/dp/B0BVMPK93V/ref=sr_1_25?qid=1679154840&s=apparel&sr=1-25,4.9,55,₹275,₹599
Fashnex Waist Belt Made of Neoprene for Women & Men for Tummy Exercise.,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/61UkXKsUs8S._AC_UL320_.jpg,https://www.amazon.in/Fashnex-Sweat-Slim-Neoprene-Women/dp/B08C2CXML7/ref=sr_1_26?qid=1679154840&s=apparel&sr=1-26,4.5,709,₹959.04,"₹2,499"
"FIMALIA 36 & 72 Pc Double Sided Tape for Clothes Bra Stickers One-off Body Skin Tape,Invisible Clear Bra Clothing Tape Str...",women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/71vqVTHXebL._AC_UL320_.jpg,https://www.amazon.in/FIMALIA-Stickers-Invisible-Clothing-Friendly/dp/B0B69GVFGF/ref=sr_1_27?qid=1679154840&s=apparel&sr=1-27,3.7,65,₹169,₹500
MYZA Women's Reusable Nipple Cover - Silicone Nipple Cover Bra Pad - Adhesive Reusable Nipple Pads - Thin Silicone Nipple ...,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/21EvrL+rbsL._AC_UL320_.jpg,https://www.amazon.in/MYZA-Womens-Silicone-Reusable-Beige_Free/dp/B07CR82YHY/ref=sr_1_28_mod_primary_new?qid=1679154840&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-28,4.0,"3,596",₹155,₹999
Costafrey® Tummy Tucker Women's High Waist Shapewear with Anti Rolling Strip Tummy Control Panties (Fits 30-38 Waist Size),women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/71Q3V7SriuL._AC_UL320_.jpg,https://www.amazon.in/Costafrey-Tummy-Tucker-Womens-Shapewear/dp/B085W345QW/ref=sr_1_29?qid=1679154840&s=apparel&sr=1-29,3.5,"4,597",₹599,₹999
"Fabme Women Lace, Padded Tube Bra - Free Size - 3 Hook Back",women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/81tjhOx5UCL._AC_UL320_.jpg,https://www.amazon.in/Fabme-Womens-Strapless-Padded-BR0263_Black_Free/dp/B07HL9PC8T/ref=sr_1_30?qid=1679154840&s=apparel&sr=1-30,3.3,"2,215",₹109,₹699
Rupa Jon Women's Cotton Panty (Pack of 10)(Colors and Prints May Vary),women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/61FYZZJ-fGL._AC_UL320_.jpg,https://www.amazon.in/Rupa-Jon-ASH-PLN-PNTY-PO10_ASSRT_90/dp/B01MSDJ3RY/ref=sr_1_31_mod_primary_new?qid=1679154840&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-31,3.9,"18,535",₹445,₹500
